Timestamp,Market_,25_perc_,50_perc_,75_perc_
1636362000000,FR,-0.1999969482421875,0.0,0.15999984741210938
1636362000000,NL,-0.10500025749206543,-0.005000054836273193,0.06450003385543823
1636365600000,FR,-0.09999923706054688,7.272714918309993e-05,0.04500007629394531
1636365600000,NL,-0.01999966303507487,0.010999917984008789,0.10400009155273438
1636369200000,NL,-0.017000198364257812,0.016666511694590252,0.11374962329864502
1636369200000,FR,-0.020500409603118896,0.014999866485595703,0.15000057220458984
1636372800000,NL,-0.04400014877319336,-0.0005713956696646554,0.014999985694885254
1636372800000,FR,-0.04999995231628418,0.000800013542175293,0.09999879201253255
1636376400000,NL,-0.025000572204589844,0.0040000081062316895,0.060000101725260414
1636376400000,FR,-0.0024999678134918213,0.0149993896484375,0.20000123977661133
1636380000000,FR,-0.025499820709228516,0.019999980926513672,0.12249970436096191
1636380000000,NL,-0.02050042152404785,0.0005555484029981825,0.08249974250793457
1636383600000,NL,-0.03950023651123047,0.004999876022338867,0.10200042724609375
1636383600000,FR,-0.123748779296875,0.0,0.09250020980834961
1636387200000,NL,-0.04833269119262695,0.0002500005066394806,0.0883329709370931
1636387200000,FR,-0.05599966049194336,0.001000046730041504,0.09999542236328125
1636390800000,FR,-0.13249778747558594,-7.692308953175179e-05,0.08499908447265625
1636390800000,NL,-0.05750012397766113,-0.0011428424290248326,0.03999964396158854
1636448400000,FR,-0.03874927759170532,0.029999732971191406,0.3800039291381836
1636448400000,NL,-0.006000041961669922,0.020000457763671875,0.2050008773803711
1636452000000,NL,-0.03800010681152344,0.010000109672546387,0.07399940490722656
1636452000000,FR,-0.0051995813846588135,0.04000091552734375,0.22375106811523438
1636455600000,NL,-0.01999969482421875,7.50124454498291e-05,0.060001373291015625
1636455600000,FR,-0.04999971389770508,0.001178967325310958,0.19299697875976562
1636459200000,FR,-0.012499332427978516,0.010001182556152344,0.1425018310546875
1636459200000,NL,-0.0283354918162028,0.0015555587079789904,0.05999898910522461
1636462800000,FR,-0.14749956130981445,-0.0032000064849853514,0.05375099182128906
1636462800000,NL,-0.04000091552734375,-0.0006666183471679688,0.03500008583068848
1636466400000,FR,-0.047499656677246094,4.3749925680458546e-05,0.07499980926513672
1636466400000,NL,-0.04249978065490723,-0.0002856935773577009,0.08500099182128906
1636470000000,NL,-0.18199920654296875,-0.01999974250793457,0.039999961853027344
1636470000000,FR,-0.12200021743774414,-0.010000228881835938,0.04998779296875
1636473600000,NL,-0.019166231155395508,0.04000027974446615,0.09299945831298828
1636473600000,FR,-0.047333081563313804,0.0016200006008148192,0.13749980926513672
1636477200000,NL,-0.042499383290608726,0.003999993205070496,0.038500308990478516
1636477200000,FR,-0.09666633605957031,-0.001107692145384275,0.06999969482421875
1636534800000,NL,-0.09999895095825195,-0.007499873638153076,0.04999971389770508
1636534800000,FR,-0.1999988555908203,-0.0003000006079673767,0.1424999237060547
1636538400000,FR,-0.048000335693359375,0.0018000841140747071,0.23000049591064453
1636538400000,NL,-0.040667215983072914,0.003000020980834961,0.09999942779541016
1636542000000,FR,-0.07999944686889648,0.0008727268061854622,0.09999338785807292
1636542000000,NL,-0.17499828338623047,-0.003000020980834961,0.05250084400177002
1636545600000,FR,-0.06000518798828125,-6.666779518127441e-05,0.11000410715738933
1636545600000,NL,-0.039999961853027344,0.0010199904441833495,0.05999946594238281
1636549200000,NL,-0.009501069784164429,0.010666688283284506,0.0775003433227539
1636549200000,FR,-0.005449989344924688,0.0008000023663043976,0.12499618530273438
1636552800000,NL,-0.03874993324279785,0.0006666680177052816,0.021670023600260418
1636552800000,FR,-0.06500101089477539,0.005100114271044731,0.095001220703125
1636556400000,FR,-0.001372221236427625,0.060001373291015625,0.28750133514404297
1636556400000,NL,-0.008749961853027344,0.039997100830078125,0.15000009536743164
1636560000000,FR,-0.017499446868896484,0.02750110626220703,0.17499923706054688
1636560000000,NL,-0.005999669432640076,0.010000069936116537,0.10999679565429688
1636563600000,NL,-0.013000011444091797,0.017000198364257812,0.07999944686889648
1636563600000,FR,-0.05000114440917969,0.0022220611572265625,0.047499656677246094
1636621200000,FR,-0.10000038146972656,0.00017142828021730696,0.1399993896484375
1636621200000,NL,-0.05999755859375,0.007500052452087402,0.10999870300292969
1636624800000,FR,-0.029999732971191406,0.01999982198079427,0.11999988555908203
1636624800000,NL,-0.02500021457672119,0.030000050862630207,0.1550006866455078
1636628400000,NL,-0.027500629425048828,-0.0004000067710876465,0.037499427795410156
1636628400000,FR,-0.05250072479248047,-0.0001250002533197403,0.05000042915344238
1636632000000,FR,-0.14249944686889648,-0.01399993896484375,0.01999950408935547
1636632000000,NL,-0.050750136375427246,0.0015000700950622559,0.05250215530395508
1636635600000,FR,-0.020000219345092773,0.00010909140110015869,0.04000043869018555
1636635600000,NL,-0.005100440979003906,0.01999969482421875,0.05274999141693115
1636639200000,NL,-0.005000114440917969,0.012000083923339844,0.10000085830688477
1636639200000,FR,-0.0003571489027568272,0.039999961853027344,0.1425004005432129
1636642800000,NL,-0.05333264668782552,0.0018749535083770752,0.04000091552734375
1636642800000,FR,-0.05000019073486328,0.00014545429836619985,0.07250022888183594
1636646400000,FR,-0.006000041961669922,0.002999996766448021,0.07666651407877605
1636646400000,NL,-0.0070001184940338135,0.005333423614501953,0.05333518981933594
1636650000000,FR,-0.02649986743927002,0.010000228881835938,0.10000006357828777
1636650000000,NL,-0.0011249445378780365,0.03500008583068848,0.0966657002766927
1636707600000,FR,-0.0589998722076416,0.001999974250793457,0.20000362396240234
